setting,Accuracy,Precision,Recall,F-score,adjAccuracy,adjPrecision,adjRecall,adjF-score
anomaly_detection_mse_UCRA_042_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG6_7000_12190_12420.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm256_nh8_el4_dl1_df512_fc1_ebtimeF_dtTrue_test24-09-08_21-30-47,0.94095725,0.0009199632014719411,0.004347826,0.0015186028,0.9512392,0.17477204,1.0,0.29754204
anomaly_detection_mse_UCRA_043_UCR_Anomaly_DISTORTEDMesoplodonDensirostris_10000_19280_19440.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm256_nh8_el4_dl1_df512_fc1_ebtimeF_dtTrue_test24-09-08_21-31-31,0.9888295,0.2,0.00625,0.012121212,0.9997259,0.9756098,1.0,0.9876543
anomaly_detection_mse_UCRA_044_UCR_Anomaly_DISTORTEDPowerDemand1_9000_18485_18821.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm256_nh8_el4_dl1_df512_fc1_ebtimeF_dtTrue_test24-09-08_21-32-22,0.9830247,0.1,0.005952381,0.011235955,0.9991319,0.9491525,1.0,0.973913
anomaly_detection_mse_UCRA_045_UCR_Anomaly_DISTORTEDPowerDemand2_14000_23357_23717.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm256_nh8_el4_dl1_df512_fc1_ebtimeF_dtTrue_test24-09-08_21-33-10,0.97324216,0.018867924528301886,0.0027777778,0.004842615,0.9966146,0.8737864,1.0,0.93264246
anomaly_detection_mse_UCRA_046_UCR_Anomaly_DISTORTEDPowerDemand3_16000_23405_23477.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm256_nh8_el4_dl1_df512_fc1_ebtimeF_dtTrue_test24-09-08_21-34-05,0.9407552,0.0013351134846461949,0.013888889,0.0024360537,0.9458912,0.087804876,1.0,0.16143498
anomaly_detection_mse_UCRA_047_UCR_Anomaly_DISTORTEDPowerDemand4_18000_24005_24077.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm256_nh8_el4_dl1_df512_fc1_ebtimeF_dtTrue_test24-09-08_21-35-05,0.9357639,0.004451038575667656,0.041666668,0.008042895,0.94175345,0.09690444,1.0,0.17668712
anomaly_detection_mse_UCRA_048_UCR_Anomaly_DISTORTEDTkeepFifthMARS_3500_5988_6085.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm256_nh8_el4_dl1_df512_fc1_ebtimeF_dtTrue_test24-09-08_21-36-09,0.96315104,0.005319148936170213,0.010309278,0.007017544,0.975651,0.3415493,1.0,0.5091863
anomaly_detection_mse_UCRA_049_UCR_Anomaly_DISTORTEDTkeepFirstMARS_3500_5365_5380.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm256_nh8_el4_dl1_df512_fc1_ebtimeF_dtTrue_test24-09-08_21-36-45,0.9591146,0.0033222591362126247,0.06666667,0.006329114,0.9609375,0.04761905,1.0,0.09090909
anomaly_detection_mse_UCRA_050_UCR_Anomaly_DISTORTEDTkeepForthMARS_3500_5988_6085.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm256_nh8_el4_dl1_df512_fc1_ebtimeF_dtTrue_test24-09-08_21-37-22,0.9872396,0.3333333333333333,0.010309278,0.02,0.9997396,0.97979796,1.0,0.9897959
anomaly_detection_mse_UCRA_051_UCR_Anomaly_DISTORTEDTkeepSecondMARS_3500_9330_9340.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm256_nh8_el4_dl1_df512_fc1_ebtimeF_dtTrue_test24-09-08_21-38-00,0.961849,0.0035087719298245615,0.1,0.006779661,0.96302086,0.034013607,1.0,0.065789476
